Title;Dept_Num;Level;Prof;Topics;URL;;;
Water Resource Systems;1.731;Graduate;Prof. Dennis McLaughlin;Engineering|Environmental Engineering|Hydrology and Water Resource Systems;https://ocw.mit.edu/courses/1-731-water-resource-systems-fall-2006/;;;
Land; Water; Food; and Climate;1.74;Graduate;Prof. Dennis McLaughlin;Science|Earth Science|Energy;https://ocw.mit.edu/courses/1-74-land-water-food-and-climate-fall-2020/
Aquatic Chemistry;1.76;Graduate;Dr. Jim Moffett;Engineering|Science|Chemistry;https://ocw.mit.edu/courses/1-76-aquatic-chemistry-fall-2005/;;;
Water Quality Control;1.77;Graduate;Dr. Eric Adams;Engineering|Environmental Engineering|Hydrology and Water Resource Systems;https://ocw.mit.edu/courses/1-77-water-quality-control-spring-2006/;;;
Environmental Engineering Masters of Engineering Project;1.782;Graduate;Dr. Eric Adams;Engineering|Environmental Engineering|Hydrology and Water Resource Systems;https://ocw.mit.edu/courses/1-782-environmental-engineering-masters-of-engineering-project-fall-2003-spring-2004/;;;
Environmental Engineering Masters of Engineering Project;1.782;Graduate;Dr. Eric Adams;Engineering|Environmental Engineering|Hydrology and Water Resource Systems;https://ocw.mit.edu/courses/1-782-environmental-engineering-masters-of-engineering-project-fall-2007-spring-2008/;;;
Atmospheric Chemistry;1.84;Graduate;Prof. Jesse Kroll;Science|Earth Science|Energy;https://ocw.mit.edu/courses/1-84j-atmospheric-chemistry-fall-2013/;;;
Water and Wastewater Treatment Engineering;1.85;Graduate;Dr. Peter Shanahan;Engineering|Environmental Engineering|Hydrology and Water Resource Systems;https://ocw.mit.edu/courses/1-85-water-and-wastewater-treatment-engineering-spring-2006/;;;
Environmental Microbiology;1.89;Graduate;Prof. Martin Polz;Science|Earth Science|Biology;https://ocw.mit.edu/courses/1-89-environmental-microbiology-fall-2004/;;;
Environmental Engineering Applications of Geographic Information Systems;1.963;Graduate;Prof. Daniel Sheehan;Engineering|Computer Science|Social Science;https://ocw.mit.edu/courses/1-963-environmental-engineering-applications-of-geographic-information-systems-fall-2004/;;;
A Sustainable Transportation Plan for MIT;1.963;Graduate;;Science|Social Science|Public Administration;https://ocw.mit.edu/courses/1-963-a-sustainable-transportation-plan-for-mit-spring-2007/;;;
Design for Sustainability;1.964;Graduate;Dr. Eric Adams;Engineering|Science|Architecture;https://ocw.mit.edu/courses/1-964-design-for-sustainability-fall-2006/;;;
From Nano to Macro: Introduction to Atomistic Modeling Techniques;1.978;Graduate;Prof. Markus Buehler;Engineering|Mechanical Engineering|Systems Engineering;https://ocw.mit.edu/courses/1-978-from-nano-to-macro-introduction-to-atomistic-modeling-techniques-january-iap-2007/;;;
How and Why Machines Work;2.000;Undergraduate;Prof. Martin Culpepper;Engineering|Mechanical Engineering|Mechanical Design;https://ocw.mit.edu/courses/2-000-how-and-why-machines-work-spring-2002/;;;
Mechanics & Materials I;2.001;Undergraduate;Prof. Carol Livermore;Engineering|Mechanical Engineering|Materials Science and Engineering;https://ocw.mit.edu/courses/2-001-mechanics-materials-i-fall-2006/;;;
Mechanics and Materials II;2.002;Undergraduate;Prof. Lallit Anand;Engineering|Mechanical Engineering|Materials Science and Engineering;https://ocw.mit.edu/courses/2-002-mechanics-and-materials-ii-spring-2004/;;;
Modeling Dynamics and Control I;2.003;Undergraduate;Prof. Steven Dubowsky;Engineering|Mathematics|Mechanical Engineering;https://ocw.mit.edu/courses/2-003-modeling-dynamics-and-control-i-spring-2005/;;;
Dynamics and Vibration (13.013J);2.003;Undergraduate;Prof. Nicholas Patrikalakis;Engineering|Science|Physics;https://ocw.mit.edu/courses/2-003j-dynamics-and-vibration-13-013j-fall-2002/;;;
Dynamics and Control I;2.003;Undergraduate;Prof. Nicholas Hadjiconstantinou;Engineering|Mathematics|Mechanical Engineering;https://ocw.mit.edu/courses/2-003j-dynamics-and-control-i-spring-2007/;;;
